"Breed","Chromosome","CNV_Type","Size_kb","Breed_Class"
"German Shepherd",10,"Loss",109.11,"Working"
"German Shepherd",33,"Gain",97.04,"Working"
"Beagle",5,"Loss",186.42,"Hound"
"Beagle",25,"Gain",24.75,"Hound"
"German Shepherd",8,"Gain",63.26,"Working"
"Labrador",25,"Gain",35.57,"Sporting"
"Poodle",21,"Loss",104.28,"Toy"
"Boxer",18,"Gain",138.84,"Working"
"Beagle",31,"Loss",194.96,"Hound"
"German Shepherd",6,"Loss",49.03,"Working"
"Labrador",7,"Gain",55.18,"Sporting"
"German Shepherd",17,"Loss",107.29,"Working"
"German Shepherd",28,"Gain",83.66,"Working"
"Boxer",7,"Loss",131.09,"Working"
"Poodle",20,"Gain",32.9,"Toy"
"Boxer",18,"Gain",217.75,"Working"
"Boxer",29,"Loss",79.04,"Working"
"Labrador",17,"Loss",159.71,"Sporting"
"German Shepherd",33,"Loss",244.75,"Working"
"Beagle",2,"Loss",58.75,"Hound"
"Beagle",2,"Loss",26.73,"Hound"
"Boxer",13,"Loss",62.47,"Working"
"German Shepherd",24,"Loss",95.09,"Working"
"Poodle",3,"Loss",76.26,"Toy"
"Boxer",18,"Gain",95.46,"Working"
"German Shepherd",2,"Gain",178.39,"Working"
"Labrador",37,"Gain",82.61,"Sporting"
"Poodle",12,"Loss",125,"Toy"
"Beagle",13,"Gain",130.28,"Hound"
"Labrador",6,"Gain",141.48,"Sporting"
"Boxer",38,"Gain",43.95,"Working"
"Boxer",16,"Loss",51.87,"Working"
"Beagle",35,"Loss",14.89,"Hound"
"German Shepherd",36,"Gain",60.31,"Working"
"Poodle",27,"Loss",98.95,"Toy"
"Labrador",27,"Gain",112.62,"Sporting"
"Labrador",35,"Loss",42.67,"Sporting"
"German Shepherd",23,"Gain",153.19,"Working"
"Boxer",3,"Loss",71.64,"Working"
"Beagle",31,"Loss",11.05,"Hound"
"Labrador",2,"Loss",52,"Sporting"
"Labrador",23,"Gain",205.52,"Sporting"
"Poodle",3,"Gain",43.45,"Toy"
"Labrador",9,"Loss",88.82,"Sporting"
"Beagle",30,"Loss",138.77,"Hound"
"Boxer",31,"Loss",88.12,"Working"
"Boxer",30,"Loss",42,"Working"
"German Shepherd",9,"Loss",81.8,"Working"
"Boxer",36,"Gain",21.93,"Working"
"Labrador",34,"Gain",24.84,"Sporting"
"Boxer",22,"Loss",67.17,"Working"
"Beagle",28,"Gain",68.52,"Hound"
"Poodle",29,"Loss",133.66,"Toy"
"Poodle",37,"Gain",13.23,"Toy"
"German Shepherd",33,"Gain",22.79,"Working"
"Boxer",19,"Gain",132.06,"Working"
"Beagle",12,"Gain",163.33,"Hound"
"Boxer",34,"Gain",98.59,"Working"
"Beagle",21,"Loss",42.36,"Hound"
"Poodle",17,"Loss",54.02,"Toy"
"Labrador",12,"Gain",49.04,"Sporting"
"Labrador",30,"Loss",42.43,"Sporting"
"German Shepherd",35,"Gain",137.44,"Working"
"Boxer",30,"Gain",137.25,"Working"
"Poodle",25,"Gain",19.56,"Toy"
"Boxer",3,"Loss",123.75,"Working"
"Boxer",18,"Gain",95.7,"Working"
"German Shepherd",32,"Gain",32.3,"Working"
"Poodle",17,"Gain",34.75,"Toy"
"Boxer",38,"Gain",79.59,"Working"
"German Shepherd",32,"Loss",198.47,"Working"
"Labrador",26,"Gain",102.49,"Sporting"
"German Shepherd",13,"Loss",143.59,"Working"
"Beagle",20,"Loss",59.04,"Hound"
"Labrador",38,"Loss",63.41,"Sporting"
"Labrador",20,"Gain",85.95,"Sporting"
"German Shepherd",29,"Gain",31.28,"Working"
"Beagle",20,"Gain",23.18,"Hound"
"Beagle",30,"Loss",85.91,"Hound"
"Beagle",8,"Loss",85.32,"Hound"
"Poodle",10,"Gain",141.43,"Toy"
"Beagle",17,"Loss",85.81,"Hound"
"Beagle",18,"Gain",122.59,"Hound"
"Poodle",11,"Loss",44.66,"Toy"
"Poodle",2,"Gain",145.42,"Toy"
"Boxer",19,"Loss",223.08,"Working"
"German Shepherd",13,"Loss",33.37,"Working"
